2019/01/15 13:06:24.953 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:06:24.954 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:06:52.494 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:06:52.495 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:07:45.619 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:07:45.619 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:12:29.769 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:12:29.770 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:13:04.373 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:13:04.373 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:14:02.506 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:14:02.506 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:15:29.466 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:15:29.466 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:15:56.447 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:15:56.448 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 13:24:14.907 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 13:24:14.907 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:33:23.864 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:33:23.865 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:34:09.816 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:34:09.816 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:35:18.210 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:35:18.210 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:38:09.310 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:38:09.310 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:38:45.439 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:38:45.440 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:42:57.049 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:42:57.049 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:52:16.025 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:52:16.026 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:55:06.446 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:55:06.446 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 14:58:18.212 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 14:58:18.213 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:04:11.447 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:04:11.447 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:07:16.944 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:07:16.945 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:22:51.664 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:22:51.664 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:31:59.275 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:31:59.276 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:32:57.879 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:32:57.880 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:34:39.992 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:34:39.993 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:35:58.790 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:35:58.791 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:39:02.746 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:39:02.747 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:40:09.747 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:40:09.747 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:40:53.809 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:40:53.809 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:46:08.295 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:46:08.296 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:47:43.680 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:47:43.680 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:49:26.772 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:49:26.773 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 15:53:17.023 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 15:53:17.024 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:02:25.255 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:02:25.256 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:04:10.881 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:04:10.881 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:05:04.736 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:05:04.736 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:06:26.040 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:06:26.041 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:07:58.687 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:07:58.688 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:08:33.086 [E]  Connect to the redis host 127.0.0.1:6379 failed
2019/01/15 16:08:33.086 [E]  dial tcp 127.0.0.1:6379: connectex: No connection could be made because the target machine actively refused it.
2019/01/15 16:14:16.541 [E]  Connect to the redis host 127.0.0.1:6379 failed
